,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,27536.86136,27275.85976,27326.9359,27978.48414,30364.76953,29170.01,30799.74434,25643.68032,35298.00143,20670.66862,33726.63525,23220.91383,27040.81532,90017.08269,15254.23729
2006,34557,30985,31013,32506,30378,34406,39041,30977,42426.18908,25940.38717,35810.55359,23492.10132,30636.6841,101104.5317,18232.75862
2007,34198,30097,31644,31365,34355,34586,36135,28070,36705.74226,25671.48269,36899.98304,25379.99646,25659.62219,106213.9462,20172.41379
2008,33641,30421,31443,31227,31617,34113,39793,30685,33441.37749,24911.16054,37816.88015,26632.63754,26946.24607,115721.553,24642.85714
2009,29903.35759,28604,31328,28806,31169,32416,37556,27708,32195.27437,23526.25731,38881.07377,23652.55289,26431.22474,115737.7774,23785.71429
2010,32966,28914,30284,26838,31438,30597,32832,27785,32826.08696,20926.26728,39459.0846,24553.47299,26230.27469,123324.7201,21758.24176
2011,34621,29602,31511,27347,30445,32715,33994,29447,38577.98165,25568.90821,36651.05386,26131.77471,30548.7053,133613.6553,25268.8172
2012,41634,35178,37399,32031,33406,35164,36221,33737,41222.70742,27477.29566,41089.35129,28380.60856,31642.56796,149010.2389,29120.87912
2013,36644,34396,37444,29682,34795,36090,39513,36789,47407,27101.71429,46447.02842,26650.29031,32605.82738,134359.5342,32045.45455
2014,35039.0625,31449.36709,36996.80511,31104.36893,35394.14414,35796.13095,41035.07271,36220.20431,42460.9375,28261.15923,46101.69492,30134.87476,33589.33333,143836.0176,35357.14286
2015,40674,31221,34847,29565,34978,37388,39184,37507,42313,27757.71573,45403.22581,27787.72379,33472.99344,169127.572,40519.48052
2016,39968,32454,37397,34850,35564,37665,44809,37200,43164,28991.45655,45450.54945,29921.43169,33377.92642,180627.6151,35053.76344
